Title:       ,Sunset_PID
 2.6711670 , 8.4224820
 2.6715740 , 8.4222750
 2.6721220 , 8.4217390
 2.6727140 , 8.4211850
 2.6729490 , 8.4205740
 2.6738700 , 8.4200330
 2.6740620 , 8.4197570
 2.6742690 , 8.4189410
 2.6747310 , 8.4184740
 2.6751190 , 8.4177590
 2.6762580 , 8.4174220
 2.6765520 , 8.4168550
 2.6767080 , 8.4159740
 2.6773220 , 8.4154140
 2.6780130 , 8.4149030
 2.6781320 , 8.4142940
 2.6786520 , 8.4135750
 2.6799350 , 8.4130950
 2.6795390 , 8.4126150
 2.6800130 , 8.4119500
 2.6805530 , 8.4115240
 2.6817860 , 8.4107310
 2.6815830 , 8.4102570
 2.6824790 , 8.4097180
 2.6828660 , 8.4091020
 2.6830820 , 8.4086290
 2.6834520 , 8.4080810
 2.6838850 , 8.4075730
 2.6849940 , 8.4069930
 2.6852570 , 8.4065390
 2.6852930 , 8.4061110
 2.6858690 , 8.4053600
 2.6861680 , 8.4049730
 2.6867560 , 8.4044080
 2.6869470 , 8.4038450
 2.6879530 , 8.4032630
 2.6879300 , 8.4025240
 2.6883260 , 8.4021840
 2.6893070 , 8.4014540
 2.6892660 , 8.4010290
 2.6898080 , 8.4003600
 2.6903760 , 8.3997450
 2.6906280 , 8.3993470
 2.6909080 , 8.3986770
 2.6913820 , 8.3982790
 2.6925120 , 8.3976230
 2.6922890 , 8.3970990
 2.6926080 , 8.3964610
 2.6936640 , 8.3959140
 2.6935010 , 8.3954530
 2.6940620 , 8.3947190
 2.6947340 , 8.3943000
 2.6952970 , 8.3937020
 2.6952270 , 8.3933080
 2.6955920 , 8.3928740
 2.6959920 , 8.3923770
 2.6962620 , 8.3921180
 2.6966200 , 8.3916230
 2.6974620 , 8.3910130
 2.6973160 , 8.3906300
 2.6978110 , 8.3899250
 2.6991500 , 8.3894510
 2.6985960 , 8.3889400
 2.6992880 , 8.3883600
 2.7002660 , 8.3875870
 2.7002900 , 8.3867490
 2.7007560 , 8.3866170
 2.7013860 , 8.3858140
 2.7015920 , 8.3852940
 2.7020800 , 8.3845830
 2.7026410 , 8.3841500
 2.7029810 , 8.3835840
 2.7034550 , 8.3828790
 2.7041630 , 8.3826540
 2.7041250 , 8.3819490
 2.7045700 , 8.3814450
 2.7052020 , 8.3809950
 2.7053130 , 8.3806300
 2.7055710 , 8.3803870
 2.7060650 , 8.3797450
 2.7061810 , 8.3794430
 2.7065530 , 8.3788450
 2.7070890 , 8.3786190
 2.7071260 , 8.3780850
 2.7076440 , 8.3773710
 2.7083740 , 8.3769080
 2.7083760 , 8.3763540
 2.7087840 , 8.3758730
 2.7095320 , 8.3751520
 2.7097780 , 8.3743970
